country,age,sex,score
US,20s,f,82.2520138784533
US,20s,f,82.5471088556307
US,20s,f,81.6533899599952
GB,20s,f,84.9585447149972
US,20s,f,87.6432438048401
CA,20s,f,88.4973601227449
US,20s,f,80.2982546743892
NZ,20s,f,91.9994571922524
US,20s,f,71.4982199881758
US,20s,f,91.4141182122486
AU,20s,f,92.2000833554193
CA,20s,f,92.0702873493567
US,20s,f,85.5958386699924
NZ,20s,f,86.5012737878022
US,20s,f,76.9800566225534
GB,20s,f,83.8878667957726
US,20s,f,85.8532697627587
CA,20s,f,76.1717816301998
US,20s,f,78.8401231380357
US,20s,f,86.7323371249118
US,20s,f,80.3563157362597
US,20s,f,85.3704290389682
GB,20s,f,80.9064617114408
CA,20s,f,87.5991690149974
US,20s,f,70.0632565078281
US,20s,f,72.6933042917933
US,20s,f,86.3207150428068
US,20s,f,74.6509464014144
US,20s,f,91.2219994108281
US,20s,f,92.9443718832945
GB,20s,f,83.9383712925372
US,20s,f,85.3319967431681
US,20s,f,81.3146907392712
CA,20s,f,93.6062986779559
US,20s,f,79.7895019962674
GB,20s,f,88.1726137229374
US,20s,f,78.3015571889423
US,20s,f,78.6632978224329
US,20s,f,81.4065253805547
US,20s,f,81.096810705605
US,20s,f,92.4724658906814
CA,20s,f,81.1101446837364
US,20s,f,83.648581241834
US,20s,f,89.7341211636861
US,20s,f,79.5907304577884
US,20s,f,86.7692945204908
US,20s,f,81.021857829321
US,20s,f,82.9735185529682
US,20s,f,78.2545997672493
US,20s,f,85.112759222587
US,20s,f,83.1990112306639
US,20s,f,93.6313905354057
US,20s,f,81.6549371883628
US,20s,f,88.0714168550358
GB,20s,f,88.6708281845564
US,20s,f,88.7661620719536
US,20s,f,71.6071920025916
US,20s,f,79.8167848000525
US,20s,f,89.4600579443033
GB,20s,f,77.2095251296248
CA,20s,f,87.4065575500329
US,20s,f,89.1911990940571
US,20s,f,89.4762081803665
US,20s,f,74.2654152391922
GB,20s,f,81.8891448190524
GB,20s,f,85.3578557127288
US,20s,f,84.3394682875701
US,20s,f,90.834702495929
US,20s,f,82.7748944037705
US,20s,f,94.5239780961336
US,20s,f,78.5230320656583
US,20s,f,87.2780698329388
US,20s,f,70.3927025198936
US,20s,f,89.1554607122782
CA,20s,f,85.5887489393353
CA,20s,f,63.7399720294135
US,20s,f,86.164147564254307
CA,20s,f,83.5688399029009
US,20s,f,82.7883412440618
US,20s,f,88.8607439718076
US,20s,f,84.1323717186848
US,20s,f,80.8747222558374
US,20s,f,70.2731434078444
US,20s,f,91.4607783014487
US,20s,f,80.9026149556129
CA,20s,f,89.5097058842934
NZ,20s,f,90.8350395748303
US,20s,f,76.5281700662204
US,20s,f,92.9469245042474
GB,20s,f,87.875325920149
GB,20s,f,88.5730598609717
US,20s,f,90.6427360727407
US,20s,f,75.8193668510233
AU,20s,f,84.059737143772
US,20s,f,82.8795386478305
US,20s,f,83.91509575858
US,20s,f,78.9430955336207
US,20s,f,77.334992702873
US,20s,f,91.2578739514131
US,20s,f,77.3718914105779
AU,20s,f,86.7349187266968
US,20s,f,80.1209678696025
US,20s,f,75.0439606252171
US,20s,f,81.2633299401828
US,20s,f,69.2633829478707
US,20s,f,84.7607700863764
US,20s,f,81.8345543529306
US,20s,f,92.5031207080576
US,20s,f,82.8589870927057
US,20s,f,89.9072170789753
US,20s,f,86.2962663439768
US,20s,f,80.6486011881913
US,20s,f,90.7748559656154
NZ,20s,f,83.7766897975512
US,20s,f,85.5384471072328
US,20s,f,88.6937125760596
GB,20s,f,95.3808346829776
US,20s,f,82.4165277005661
US,20s,f,81.911269096391493
US,20s,f,86.0887428534971
GB,20s,f,81.6790798235507
US,20s,f,83.0835875567226
US,20s,f,68.7228354314963
GB,20s,f,73.771977921327
AU,20s,f,78.7232310666392
US,20s,f,83.9133468589612
CA,20s,f,92.1190450655385
US,20s,f,88.1107215902635
US,20s,f,84.7838856723337
CA,20s,f,76.2180097046353
GB,20s,f,77.8426976430984
US,20s,f,79.5765815391427
US,20s,f,82.3697492302883
AU,20s,f,74.1251061360041
US,20s,f,79.1619266427699
US,20s,f,83.5162695850202
US,20s,f,72.3381712323143
US,20s,f,77.1829447930767
US,20s,f,85.9594314758267
US,20s,f,84.3503789687973
CA,20s,f,85.7499782882985
GB,20s,f,89.6390320907813
US,20s,f,77.5624573940323
CA,20s,f,78.7905497387761
US,20s,f,80.3282442192236
US,20s,f,79.5252295876188
US,20s,f,92.9059917462014
US,20s,f,85.2244265909706
US,20s,f,94.94266929687
US,20s,f,77.6729005965449
US,20s,f,91.1370819013211
US,20s,f,86.2880082889682
US,20s,f,86.0062304972893
US,20s,f,82.7065049182801
US,20s,f,89.3828787691226
CA,20s,f,88.3176068908402
US,20s,f,90.5539314761492
US,20s,f,92.7781496596124
US,20s,f,86.0033359378576
US,20s,f,80.131100331034
US,20s,f,80.1264398509548
US,20s,f,83.5093904996202
CA,20s,f,95.5916497856379
US,20s,f,81.4944114003863
US,20s,f,76.5736615019185
AU,20s,f,80.8968168816396
GB,20s,f,82.1870907431557
US,20s,f,82.8554989914188
US,20s,f,77.337855260287
GB,20s,f,97.3402171950078
US,20s,f,83.1373119549382
US,20s,f,82.4771082738326
US,20s,f,71.8220198083492
AU,20s,f,91.5790915023535
US,20s,f,79.2525242836702
US,20s,f,86.3010618153827
GB,20s,f,77.411592325994
US,20s,f,80.7470074721745
GB,20s,f,84.7975585609674
US,20s,f,69.2120911819594
US,20s,f,92.5445763194667
CA,20s,f,89.1090715825114
US,20s,f,82.9866608161302
US,20s,f,88.8931288694342
US,20s,f,86.6046478661398
US,20s,f,74.1597917108309
US,20s,f,79.727537717138
AU,20s,f,87.6172773562194
US,20s,f,81.4250030687877
GB,20s,f,86.8679187837101
US,20s,f,86.3041859297525
US,20s,f,87.0422120671719
AU,20s,f,88.3216956885354
US,20s,f,77.1342050372845
US,20s,f,79.7613351827576
GB,20s,f,84.10302281291
CA,20s,f,82.1632990303139
US,20s,f,77.5860628379243
US,20s,f,75.308206500042
US,20s,f,85.3742450176339
US,20s,f,83.3915000648371
US,20s,f,85.2708049384611
US,20s,f,79.495643584856
US,20s,f,92.4613786428901
US,20s,f,86.5516766040985
CA,20s,f,68.1053561823709
US,20s,f,84.8835094787535
US,20s,f,91.2066413799212
US,20s,f,78.3262897815023
US,20s,f,77.1851371707661
US,20s,f,92.9260655115026
US,20s,f,90.311005964343
US,20s,f,84.6742793385472
AU,20s,f,87.9301339964427
GB,20s,f,74.3837025016546
US,20s,f,75.6188363191627
US,20s,f,88.7212447996717
GB,20s,f,84.4510636336747
CA,20s,f,85.6769973301284
US,20s,f,81.8252611195757
AU,20s,f,84.726626612246
US,20s,f,91.783961157004
CA,20s,f,86.944990871208
US,20s,f,86.4943541519876
US,20s,f,91.2357947744784
CA,20s,f,87.6136294430277
CA,20s,f,82.5437998310441
US,20s,f,78.6501101972092
US,20s,f,73.812130519322
US,20s,f,91.3567284155371
US,20s,f,77.6940419915177
US,20s,f,75.4691056397167
GB,20s,f,94.2439414959933
US,20s,f,81.8852138661203
US,20s,f,69.6132476131121
NZ,20s,f,66.1201011566889
US,20s,f,82.4565238363686
GB,20s,f,81.9214966857717
CA,20s,f,71.3163925423509
US,20s,f,93.29734528659
US,20s,f,91.5567853288459
US,20s,f,89.1882789010803
US,20s,f,77.7468005106563
US,20s,f,89.9062508451087
US,20s,f,85.977603490686107
US,20s,f,93.7076229200188
US,20s,f,82.7640729645888
US,20s,f,91.2847866724145
AU,20s,f,80.6101214229351
GB,20s,f,77.4795124662064
US,20s,f,86.75342952123
US,20s,f,85.8184575768454
US,20s,f,58.6956708913758
CA,20s,f,81.5104409398156
GB,20s,f,76.6785360340561
US,20s,f,74.4057878851891
AU,20s,f,90.5645072493436
AU,20s,f,89.7165555240853
US,20s,f,75.7602914458229
GB,20s,f,88.2270149177029
CA,20s,f,77.1320052977119
US,20s,f,78.5281252470754
GB,20s,f,80.3967129261721
CA,20s,f,93.0185380657869
CA,20s,f,87.679596495859
GB,20s,f,89.3568939551534
US,20s,f,72.8903187882333
US,20s,f,79.658136463591
US,20s,f,85.2169524124336
US,20s,f,82.0298251562885
US,20s,f,90.9097390892428
CA,20s,f,76.5659421327568
US,20s,f,88.5298175521062
US,20s,f,84.8727338193428
US,20s,f,83.1321493057268
GB,20s,f,82.7907247601875
CA,20s,f,80.3474716132595
US,20s,f,83.7716023659422
CA,20s,f,90.275062427723
CA,20s,f,80.4606308539709
AU,20s,f,80.7760604612884
US,20s,f,79.6996337672075
US,20s,f,75.2635628162395
US,20s,f,79.9644354376055
US,20s,f,81.1637181234324
US,20s,f,81.7648039332458
US,20s,f,68.6888306978203
US,20s,f,92.4100042764275
US,20s,f,75.076797498124
US,20s,f,80.7982202796709
US,20s,f,85.6564703530499
CA,20s,f,79.5845362402144
US,20s,f,89.1415684173504
US,20s,f,70.0252442842438
GB,20s,f,86.8962846518982
US,20s,f,80.474652243512
US,20s,f,89.5014706866017
US,20s,f,80.2035463352998
US,20s,f,82.5043770883765
US,20s,f,75.0198716918627
US,20s,f,81.9733278382392
US,20s,f,83.1428424765666
US,20s,f,83.5398984274694
US,20s,f,88.60964365747
GB,20s,f,88.3641137874552
US,20s,f,81.0978212881656
US,20s,f,77.5771046323436
US,20s,f,59.2394362602915
US,20s,f,78.9745905392227
US,20s,f,83.7275219282934
AU,20s,f,81.5194439187291
GB,20s,f,91.9679682280514
US,20s,f,79.8418203280086
CA,20s,f,73.9558376017071
US,20s,f,74.3829398637726
US,20s,f,78.9369118887754
US,20s,f,73.3247505057426
US,20s,f,75.7241439606462
GB,20s,f,81.0353896314544
US,20s,f,81.3020399283795
US,20s,f,74.8343387175174
US,20s,f,81.1384869650716
US,20s,f,86.052019776599
US,20s,f,85.7671286201193
US,20s,f,87.7282438943872
US,20s,f,79.5276185586339
AU,20s,f,87.999370130932
US,20s,f,86.8538667935701
US,20s,f,68.7522733140559
US,20s,f,84.2095133360653
US,20s,f,74.1079111893972
US,20s,f,92.7048194643465
US,20s,f,89.4135079147028
US,20s,f,84.3984133608285
US,20s,f,87.2232343912834
CA,20s,f,78.8574382307984
CA,20s,f,80.0075973960615
US,20s,f,81.3722376489923
US,20s,f,83.7864989680903
US,20s,f,82.8475792670534
US,20s,f,85.8356247700396
US,20s,f,83.9029656279655
US,20s,f,84.0902187373667
US,20s,f,78.698536363386
CA,20s,f,75.9742261398406
US,20s,f,71.4590746731985
US,20s,f,81.7745315387756
US,20s,f,76.8195959074157
GB,20s,f,93.9218996874323
US,20s,f,73.8119544727462
US,20s,f,84.9633617592709
US,20s,f,64.8177589688982
US,20s,f,80.5060111163628
US,20s,f,89.621405341729
CA,20s,f,95.4316931776702
US,20s,f,77.1798973282178
GB,20s,f,81.7994986793825
US,20s,f,92.6550012347954
US,20s,f,82.1057310416585
US,20s,f,82.914592644998
US,20s,f,92.2459776446755
US,20s,f,83.5239761996837
US,20s,f,77.3655646258876
US,20s,f,88.2253596071331
US,20s,f,90.7963150056146
GB,20s,f,84.2918939023678
US,20s,f,89.4717974588275
US,20s,f,78.0997528561524
US,20s,f,86.0611685684749
US,20s,f,90.6067646164004
GB,20s,f,77.6637120615868
US,20s,f,82.1363844332241
US,20s,f,87.7452311904303
US,20s,f,85.5288861053331
GB,20s,f,92.2081949610618
US,20s,f,79.0584239399149
US,20s,f,93.1414789808471
US,20s,f,64.3785844246546
US,20s,f,97.244305347669
US,20s,f,84.3504702073655
US,20s,f,84.6324841358832
US,20s,f,77.899241234575
US,20s,f,81.2355313272703
US,20s,f,83.4610374733096
AU,20s,f,76.3499063395318
CA,20s,f,81.2967163111482
US,20s,f,76.3312664060366
US,20s,f,91.9296276001703
US,20s,f,77.9031124852952
US,20s,f,85.9456214743356
US,20s,f,92.2979500233417
AU,20s,f,81.798646102349
US,20s,f,88.4966137952038
US,20s,f,85.5131649013076
US,20s,f,80.173450105247
US,20s,f,83.8258058719692
US,20s,f,89.5016965988491
US,20s,f,92.2512215251724
US,20s,f,70.0451500359036
